technique,feature,spearman_corr,p_value,slope_std,sample_size,significant
vibrato,CPP,0.5055347547745599,5.171946080174329e-05,0.8549845950565196,58,True
vibrato,H1H2,-0.3901331477453253,0.0024663445461465517,-0.7800333420713467,58,True
vibrato,H1H2_output,-0.2847834906496327,0.030256396801673188,-0.5238696333615599,58,True
vibrato,HNR,0.06860129467631536,0.6088734122923258,0.0788034684291598,58,False
vibrato,HighFreqNoiseRatio,0.8919473755964313,5.873628805637423e-21,1.3220895763616198,58,True
vibrato,Jitter,-0.03015584980062578,0.8222035186272298,-0.021760020701024327,58,False
vibrato,LowFreqEnergyRatio,-0.7216516783457113,1.6439310695395825e-10,-1.1547505658110007,58,True
vibrato,Q1,0.30841210023367277,0.01850278676151059,0.3490253313888601,58,True
vibrato,QValue,0.8308953883026495,7.014467183992613e-16,1.2565802916906343,58,True
vibrato,Shimmer,-0.5083414680676918,4.6231836740524956e-05,-0.8333436431222615,58,True
vibrato,SpectralSlope,0.17448033001781932,0.19021259352116712,0.2918313220226871,58,False
throat,CPP,0.5055347547745599,5.171946080174329e-05,0.8549845950565196,58,True
throat,H1H2,-0.3901331477453253,0.0024663445461465517,-0.7800333420713467,58,True
throat,H1H2_output,-0.2847834906496327,0.030256396801673188,-0.5238696333615599,58,True
throat,HNR,0.06860129467631536,0.6088734122923258,0.0788034684291598,58,False
throat,HighFreqNoiseRatio,0.8919473755964313,5.873628805637423e-21,1.3220895763616198,58,True
throat,Jitter,-0.03015584980062578,0.8222035186272298,-0.021760020701024327,58,False
throat,LowFreqEnergyRatio,-0.7216516783457113,1.6439310695395825e-10,-1.1547505658110007,58,True
throat,Q1,0.30841210023367277,0.01850278676151059,0.3490253313888601,58,True
throat,QValue,0.8308953883026495,7.014467183992613e-16,1.2565802916906343,58,True
throat,Shimmer,-0.5083414680676918,4.6231836740524956e-05,-0.8333436431222615,58,True
throat,SpectralSlope,0.17448033001781932,0.19021259352116712,0.2918313220226871,58,False
position,CPP,0.5055347547745599,5.171946080174329e-05,0.8549845950565196,58,True
position,H1H2,-0.3901331477453253,0.0024663445461465517,-0.7800333420713467,58,True
position,H1H2_output,-0.2847834906496327,0.030256396801673188,-0.5238696333615599,58,True
position,HNR,0.06860129467631536,0.6088734122923258,0.0788034684291598,58,False
position,HighFreqNoiseRatio,0.8919473755964313,5.873628805637423e-21,1.3220895763616198,58,True
position,Jitter,-0.03015584980062578,0.8222035186272298,-0.021760020701024327,58,False
position,LowFreqEnergyRatio,-0.7216516783457113,1.6439310695395825e-10,-1.1547505658110007,58,True
position,Q1,0.30841210023367277,0.01850278676151059,0.3490253313888601,58,True
position,QValue,0.8308953883026495,7.014467183992613e-16,1.2565802916906343,58,True
position,Shimmer,-0.5083414680676918,4.6231836740524956e-05,-0.8333436431222615,58,True
position,SpectralSlope,0.17448033001781932,0.19021259352116712,0.2918313220226871,58,False
open,CPP,0.5055347547745599,5.171946080174329e-05,0.8549845950565196,58,True
open,H1H2,-0.3901331477453253,0.0024663445461465517,-0.7800333420713467,58,True
open,H1H2_output,-0.2847834906496327,0.030256396801673188,-0.5238696333615599,58,True
open,HNR,0.06860129467631536,0.6088734122923258,0.0788034684291598,58,False
open,HighFreqNoiseRatio,0.8919473755964313,5.873628805637423e-21,1.3220895763616198,58,True
open,Jitter,-0.03015584980062578,0.8222035186272298,-0.021760020701024327,58,False
open,LowFreqEnergyRatio,-0.7216516783457113,1.6439310695395825e-10,-1.1547505658110007,58,True
open,Q1,0.30841210023367277,0.01850278676151059,0.3490253313888601,58,True
open,QValue,0.8308953883026495,7.014467183992613e-16,1.2565802916906343,58,True
open,Shimmer,-0.5083414680676918,4.6231836740524956e-05,-0.8333436431222615,58,True
open,SpectralSlope,0.17448033001781932,0.19021259352116712,0.2918313220226871,58,False
clean,CPP,0.4392416900523024,0.0005617131150615557,0.6088878258523267,58,True
clean,H1H2,-0.34237535325310214,0.008520444491457738,-0.581016381867641,58,True
