feature,coef,p_value,significant
CPP,0.30017536695367075,0.3691626736210164,False
H1H2,0.39541582758360955,0.32712763288713276,False
HNR,0.6096968005673477,0.22286669432615014,False
HighFreqNoiseRatio,0.107801066125753,0.7532419793641113,False
Jitter,0.6727946214904312,0.05245152600132342,False
LowFreqEnergyRatio,-1.2428113870825002,0.008373327123217793,True
QValue,1.1083752519329284,0.00916983725811606,True
Shimmer,-0.6688075372136799,0.03200785758878058,True
SpectralSlope,0.0005458732468555156,0.9990309322139312,False
