technique,feature,spearman_corr,p_value,slope_std,sample_size,significant
vibrato,CPP,-0.8001633786811031,2.887378076604161e-14,-1.3389715639392947,59,True
vibrato,H1H2,0.34329490072174923,0.007769993157130007,0.6645244476916425,59,True
vibrato,HNR,-0.30629509797885945,0.018305813522895318,-0.4858523918407157,59,True
vibrato,HighFreqNoiseRatio,0.6667718014831409,8.14633315907978e-09,0.9149126434503496,59,True
vibrato,Jitter,0.6077209846998534,3.319428596481764e-07,1.0140129725472575,59,True
vibrato,LowFreqEnergyRatio,0.31411064725900045,0.015402509406687652,0.40875193615864586,59,True
vibrato,QValue,-0.3345763500823806,0.009596049453410914,-0.4444401192018437,59,True
vibrato,Shimmer,0.12697166171784638,0.3379082576072111,0.32501057592291316,59,False
vibrato,SpectralSlope,0.4239590646023003,0.0008194169765423126,0.7661922626594642,59,True
throat,CPP,-0.7022164134815955,5.733854725758033e-10,-0.9530746500948182,59,True
throat,H1H2,0.12660020309895725,0.33933498847021104,0.24233429981226495,59,False
throat,HNR,-0.1761086624113986,0.18212903482372958,-0.27802341616889564,59,False
throat,HighFreqNoiseRatio,0.8139319304366174,4.6150925523343784e-15,0.9851188326778131,59,True
throat,Jitter,0.43155945312351496,0.0006432188142094287,0.611489963723697,59,True
throat,LowFreqEnergyRatio,0.08699343564900414,0.5123673451841806,0.04954162342198062,59,False
throat,QValue,-0.13047298834102813,0.32464482708864484,-0.05259388106417101,59,False
throat,Shimmer,0.1294935546172168,0.3283213496157974,0.30190281959556453,59,False
throat,SpectralSlope,0.4613353746186169,0.00023553047245960095,0.6315344265589313,59,True
position,CPP,-0.8001633786811031,2.887378076604161e-14,-1.3389715639392947,59,True
position,H1H2,0.34329490072174923,0.007769993157130007,0.6645244476916425,59,True
position,HNR,-0.30629509797885945,0.018305813522895318,-0.4858523918407157,59,True
position,HighFreqNoiseRatio,0.6667718014831409,8.14633315907978e-09,0.9149126434503496,59,True
position,Jitter,0.6077209846998534,3.319428596481764e-07,1.0140129725472575,59,True
position,LowFreqEnergyRatio,0.31411064725900045,0.015402509406687652,0.40875193615864586,59,True
position,QValue,-0.3345763500823806,0.009596049453410914,-0.4444401192018437,59,True
position,Shimmer,0.12697166171784638,0.3379082576072111,0.32501057592291316,59,False
position,SpectralSlope,0.4239590646023003,0.0008194169765423126,0.7661922626594642,59,True
open,CPP,-0.7739942987628575,6.547906858166348e-13,-1.2052252478469772,59,True
open,H1H2,0.24598805780749122,0.0603794626646853,0.4653145830026269,59,False
open,HNR,-0.27797335042399784,0.033033370231056985,-0.45259436249872254,59,True
open,HighFreqNoiseRatio,0.7074101293082622,3.7616165387893323e-10,0.9317004272882417,59,True
open,Jitter,0.5572846070566627,4.549768392739862e-06,0.9370150578411898,59,True
open,LowFreqEnergyRatio,0.2296220423247262,0.08020768500452607,0.2701499093286018,59,False
