technique,feature,spearman_corr,p_value,slope_std,sample_size,significant
vibrato,CPP,-0.17201895791283062,0.09032199933766619,-0.26241280040738446,98,False
vibrato,H1H2,0.013173178624131822,0.8975632433937585,0.06894856401907647,98,False
vibrato,HNR,-0.25819978414583455,0.010260185472514179,-0.36140991985011717,98,True
vibrato,HighFreqNoiseRatio,0.6748889452450636,2.535973023720183e-14,0.9203512252847019,98,True
vibrato,Jitter,0.39390808289805407,5.996122039050892e-05,0.6163994240959335,98,True
vibrato,LowFreqEnergyRatio,-0.12247903330553364,0.22957546811474822,-0.20896800760233275,98,False
vibrato,QValue,0.1850382982110084,0.06814167518050625,0.29686569309621863,98,False
vibrato,Shimmer,-0.0838779188356531,0.41156449539130435,-0.0350587200126763,98,False
vibrato,SpectralSlope,0.18125716971313718,0.0740736401341427,0.38852920273760216,98,False
throat,CPP,0.044990093459406875,0.6600185322274954,0.052641000764600335,98,False
throat,H1H2,-0.2321767830836926,0.02142137342009664,-0.294672812912289,98,True
throat,HNR,-0.13035269249137918,0.200779039823269,-0.19245897710465715,98,False
throat,HighFreqNoiseRatio,0.7859385690902525,9.268732373519114e-22,1.0074823107435895,98,True
throat,Jitter,0.18967744363399955,0.06139519463336937,0.2766373191358949,98,False
throat,LowFreqEnergyRatio,-0.38881206040531135,7.605248844472515e-05,-0.5304564814591743,98,True
throat,QValue,0.4492856914345297,3.4749584576349555e-06,0.6013180197505904,98,True
throat,Shimmer,-0.16069484854539778,0.11395167542527349,-0.13880537627911327,98,False
throat,SpectralSlope,0.14053384986126188,0.1675176072065507,0.289526600371675,98,False
position,CPP,-0.17201895791283062,0.09032199933766619,-0.26241280040738446,98,False
position,H1H2,0.013173178624131822,0.8975632433937585,0.06894856401907647,98,False
position,HNR,-0.25819978414583455,0.010260185472514179,-0.36140991985011717,98,True
position,HighFreqNoiseRatio,0.6748889452450636,2.535973023720183e-14,0.9203512252847019,98,True
position,Jitter,0.39390808289805407,5.996122039050892e-05,0.6163994240959335,98,True
position,LowFreqEnergyRatio,-0.12247903330553364,0.22957546811474822,-0.20896800760233275,98,False
position,QValue,0.1850382982110084,0.06814167518050625,0.29686569309621863,98,False
position,Shimmer,-0.0838779188356531,0.41156449539130435,-0.0350587200126763,98,False
