feature,coef,p_value,significant
CPP,-0.17921115137786492,0.6374197568559121,False
H1H2,-0.052133203745431116,0.9103093946529159,False
HNR,1.544311382118118,0.03356878170606531,True
HighFreqNoiseRatio,1.01566438008685,0.04313671192392375,True
Jitter,0.6455344898732412,0.11423214942031516,False
LowFreqEnergyRatio,-1.5254907216308986,0.010729618219144513,True
QValue,0.8343365341650724,0.049147672671356384,True
Shimmer,-1.0433869992280607,0.020613014126596198,True
SpectralSlope,-0.37624076917736665,0.4843234723150348,False
