fold,train_size,test_size,accuracy,quadratic_kappa,mae
1,88,10,0.6,0.6610169491525424,0.8
2,88,10,0.8,0.8214285714285714,0.4
3,88,10,0.9,0.9056603773584906,0.2
4,88,10,0.6,0.6,0.8
5,88,10,0.8,0.8076923076923077,0.4
6,88,10,0.6,0.696969696969697,0.8
7,88,10,0.9,0.9152542372881356,0.2
8,88,10,0.7,0.7457627118644068,0.6
9,89,9,0.6666666666666666,0.5714285714285714,0.6666666666666666
10,89,9,0.7777777777777778,0.7428571428571429,0.4444444444444444
