fold,train_size,test_size,accuracy,quadratic_kappa,mae
1,88,10,0.8,0.803921568627451,0.4
2,88,10,0.8,0.7435897435897436,0.4
3,88,10,0.6,0.5918367346938775,0.8
4,88,10,0.6,0.6610169491525424,0.8
5,88,10,0.7,0.6511627906976745,0.6
6,88,10,0.6,0.6078431372549019,0.8
7,88,10,0.8,0.7959183673469388,0.4
8,88,10,0.9,0.8979591836734694,0.2
9,89,9,1.0,1.0,0.0
10,89,9,0.7777777777777778,0.7857142857142857,0.4444444444444444
