fold,train_size,test_size,accuracy,quadratic_kappa,mae
1,88,10,0.8,0.8245614035087719,0.4
2,88,10,0.7,0.6666666666666667,0.6
3,88,10,0.8,0.8360655737704918,0.4
4,88,10,0.8,0.7435897435897436,0.4
5,88,10,0.6,0.4871794871794871,0.8
6,88,10,0.9,0.8888888888888888,0.2
7,88,10,0.9,0.8888888888888888,0.2
8,88,10,0.8,0.7959183673469388,0.4
9,89,9,0.5555555555555556,0.33333333333333337,0.8888888888888888
10,89,9,0.5555555555555556,0.5,0.8888888888888888
