technique,feature,spearman_corr,p_value,slope_std,sample_size,significant
vibrato,CPP,-0.8001633786811031,2.887378076604161e-14,-1.338971480928487,59,True
vibrato,H1H2,0.34329490072174923,0.0077699931571299985,0.6645244402312103,59,True
vibrato,HNR,-0.30629509797885945,0.01830581352289532,-0.4858523918407156,59,True
vibrato,HighFreqNoiseRatio,0.6667718014831409,8.146333159079785e-09,0.9149126434503491,59,True
vibrato,Jitter,0.6077209846998534,3.319428596481752e-07,1.0140129725472578,59,True
vibrato,LowFreqEnergyRatio,0.31411064725900045,0.015402509406687661,0.4087519361586457,59,True
vibrato,QValue,-0.3345763500823806,0.009596049453410914,-0.444440119201844,59,True
vibrato,Shimmer,0.12697166171784638,0.33790825760721116,0.3250105759229131,59,False
vibrato,SpectralSlope,0.4239590646023003,0.0008194169765423132,0.7661922626594644,59,True
throat,CPP,-0.7022164134815955,5.733854725758058e-10,-0.9530745722035291,59,True
throat,H1H2,0.12660020309895725,0.3393349884702108,0.2423342885282175,59,False
throat,HNR,-0.1761086624113986,0.1821290348237295,-0.27802341616889564,59,False
throat,HighFreqNoiseRatio,0.8139319304366174,4.615092552334366e-15,0.9851188326778126,59,True
throat,Jitter,0.43155945312351496,0.0006432188142094288,0.6114899637236972,59,True
throat,LowFreqEnergyRatio,0.08699343564900414,0.5123673451841804,0.04954162342198064,59,False
throat,QValue,-0.13047298834102813,0.32464482708864467,-0.052593881064171025,59,False
throat,Shimmer,0.1294935546172168,0.32832134961579734,0.30190281959556453,59,False
throat,SpectralSlope,0.4613353746186169,0.00023553047245960105,0.6315344265589314,59,True
position,CPP,-0.8001633786811031,2.887378076604161e-14,-1.338971480928487,59,True
position,H1H2,0.34329490072174923,0.0077699931571299985,0.6645244402312103,59,True
position,HNR,-0.30629509797885945,0.01830581352289532,-0.4858523918407156,59,True
position,HighFreqNoiseRatio,0.6667718014831409,8.146333159079785e-09,0.9149126434503491,59,True
position,Jitter,0.6077209846998534,3.319428596481752e-07,1.0140129725472578,59,True
position,LowFreqEnergyRatio,0.31411064725900045,0.015402509406687661,0.4087519361586457,59,True
position,QValue,-0.3345763500823806,0.009596049453410914,-0.444440119201844,59,True
position,Shimmer,0.12697166171784638,0.33790825760721116,0.3250105759229131,59,False
position,SpectralSlope,0.4239590646023003,0.0008194169765423132,0.7661922626594644,59,True
open,CPP,-0.7739942987628575,6.547906858166328e-13,-1.2052251695986882,59,True
open,H1H2,0.24598805780749122,0.06037946266468526,0.465314564947608,59,False
open,HNR,-0.27797335042399784,0.033033370231056985,-0.45259436249872254,59,True
open,HighFreqNoiseRatio,0.7074101293082622,3.7616165387893204e-10,0.9317004272882411,59,True
open,Jitter,0.5572846070566627,4.549768392739864e-06,0.9370150578411902,59,True
open,LowFreqEnergyRatio,0.2296220423247262,0.08020768500452605,0.27014990932860156,59,False
open,QValue,-0.27001879569137344,0.038614955004519044,-0.3187262948939407,59,True
open,Shimmer,0.16515363152569737,0.21128807746954759,0.3922382181574966,59,False
open,SpectralSlope,0.3846891786642605,0.0026269297135072963,0.656692273842336,59,True
clean,CPP,-0.8001633786811031,2.887378076604161e-14,-1.338971480928487,59,True
clean,H1H2,0.34329490072174923,0.0077699931571299985,0.6645244402312103,59,True
clean,HNR,-0.30629509797885945,0.01830581352289532,-0.4858523918407156,59,True
clean,HighFreqNoiseRatio,0.6667718014831409,8.146333159079785e-09,0.9149126434503491,59,True
clean,Jitter,0.6077209846998534,3.319428596481752e-07,1.0140129725472578,59,True
clean,LowFreqEnergyRatio,0.31411064725900045,0.015402509406687661,0.4087519361586457,59,True
clean,QValue,-0.3345763500823806,0.009596049453410914,-0.444440119201844,59,True
clean,Shimmer,0.12697166171784638,0.33790825760721116,0.3250105759229131,59,False
clean,SpectralSlope,0.4239590646023003,0.0008194169765423132,0.7661922626594644,59,True
resonate,CPP,-0.8001633786811031,2.887378076604161e-14,-1.338971480928487,59,True
resonate,H1H2,0.34329490072174923,0.0077699931571299985,0.6645244402312103,59,True
resonate,HNR,-0.30629509797885945,0.01830581352289532,-0.4858523918407156,59,True
resonate,HighFreqNoiseRatio,0.6667718014831409,8.146333159079785e-09,0.9149126434503491,59,True
resonate,Jitter,0.6077209846998534,3.319428596481752e-07,1.0140129725472578,59,True
resonate,LowFreqEnergyRatio,0.31411064725900045,0.015402509406687661,0.4087519361586457,59,True
resonate,QValue,-0.3345763500823806,0.009596049453410914,-0.444440119201844,59,True
resonate,Shimmer,0.12697166171784638,0.33790825760721116,0.3250105759229131,59,False
resonate,SpectralSlope,0.4239590646023003,0.0008194169765423132,0.7661922626594644,59,True
unify,CPP,-0.7743618946458282,6.285267496516626e-13,-1.2316513050581686,59,True
unify,H1H2,0.25982860011636366,0.046882932528539444,0.5138911361265732,59,True
unify,HNR,-0.29103784394532806,0.025330469253839638,-0.4713592169545278,59,True
unify,HighFreqNoiseRatio,0.7160425315505096,1.828875322037965e-10,0.9482192270925763,59,True
unify,Jitter,0.5518912252023442,5.871523816581542e-06,0.8727478694901589,59,True
unify,LowFreqEnergyRatio,0.249394464866083,0.056797354110544186,0.3002404733008535,59,False
unify,QValue,-0.26696426985584937,0.04095588465735566,-0.3144864737827204,59,True
unify,Shimmer,0.08850382578363049,0.5050434017371908,0.24042982701467244,59,False
unify,SpectralSlope,0.45317048013211714,0.0003130936529119692,0.7490704435704364,59,True
falsetto,CPP,-0.7776471533740302,4.3445153224830406e-13,-1.2567628439731646,59,True
falsetto,H1H2,0.30161197122766387,0.020259585884702374,0.5835695641536616,59,True
falsetto,HNR,-0.2933622247652928,0.02413259528325799,-0.47323505303235336,59,True
falsetto,HighFreqNoiseRatio,0.7021278577504455,5.774764996531915e-10,0.9418633590466017,59,True
falsetto,Jitter,0.5625954918323726,3.5238063623838644e-06,0.914503883303216,59,True
falsetto,LowFreqEnergyRatio,0.2547496896312628,0.051515587084530794,0.31239475833400887,59,False
falsetto,QValue,-0.29253704895189964,0.024552258662526995,-0.3618647060399256,59,True
falsetto,Shimmer,0.11255011245091952,0.3960382703305405,0.31554303925690463,59,False
falsetto,SpectralSlope,0.41818352089438454,0.0009812668092496878,0.7197135921037731,59,True
chest,CPP,-0.8001633786811031,2.887378076604161e-14,-1.338971480928487,59,True
chest,H1H2,0.34329490072174923,0.0077699931571299985,0.6645244402312103,59,True
chest,HNR,-0.30629509797885945,0.01830581352289532,-0.4858523918407156,59,True
chest,HighFreqNoiseRatio,0.6667718014831409,8.146333159079785e-09,0.9149126434503491,59,True
chest,Jitter,0.6077209846998534,3.319428596481752e-07,1.0140129725472578,59,True
chest,LowFreqEnergyRatio,0.31411064725900045,0.015402509406687661,0.4087519361586457,59,True
chest,QValue,-0.3345763500823806,0.009596049453410914,-0.444440119201844,59,True
chest,Shimmer,0.12697166171784638,0.33790825760721116,0.3250105759229131,59,False
chest,SpectralSlope,0.4239590646023003,0.0008194169765423132,0.7661922626594644,59,True
nasal,CPP,-0.8014169581767673,2.4580246439784904e-14,-1.3327331452034092,59,True
nasal,H1H2,0.34933559715397544,0.006689847586582246,0.6727657920924444,59,True
nasal,HNR,-0.3142811600693205,0.015343843604502097,-0.49660514026447145,59,True
nasal,HighFreqNoiseRatio,0.6732869467638904,5.139515198122787e-09,0.9185984937815737,59,True
nasal,Jitter,0.609221941057452,3.0491512031164003e-07,1.0199307573679743,59,True
nasal,LowFreqEnergyRatio,0.29373200729555726,0.023946506683134614,0.37741429072062604,59,True
nasal,QValue,-0.3175351597850805,0.014260422978055754,-0.41492967202754794,59,True
nasal,Shimmer,0.14988793787921442,0.25717531503070684,0.3567609213995627,59,False
nasal,SpectralSlope,0.41752747607116475,0.0010013641139312041,0.7464279712205947,59,True
