feature,coef,abs_coef,selected
CPP,-0.669167,0.669167,True
HighFreqNoiseRatio,0.5269511,0.5269511,True
Jitter,0.40868548,0.40868548,True
QValue,-0.13860002,0.13860002,True
H1H2_output,0.12775184,0.12775184,True
SpectralSlope,0.11251073,0.11251073,True
LowFreqEnergyRatio,0.02216976,0.02216976,True
H1H2,0.0,0.0,False
HNR,-0.0,0.0,False
Q1,-0.0,0.0,False
Shimmer,-0.0,0.0,False
