audio_filename,vibrato,throat,position,open,clean,resonate,unify,falsetto,chest,nasal,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
#G3-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.2469905,-1.9932275,21.572544,0.065372005,0.004693,0.278071,9.666667,0.021558,-0.000156
#G3-5-A.wav,5,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,0.318256,-3.82461,21.407618,0.35455,0.003237,0.201213,15.333333,0.0219535,-0.000129
#G3-5-B.wav,5,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0709115,14.303691,15.891742,0.0335685,0.013373,0.9887485,4.5,0.033717,-0.000118
#G4-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16943699,14.158758,26.77405,0.0296055,0.00255,0.961546,9.5,0.02149,-0.0001225
#G4-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.19050801,0.3415325,27.586758,0.0707435,0.00212,0.50819004,10.0,0.014712,-0.00011
#G4-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.151253,7.162873,31.62641,0.249225,0.001859,0.838717,9.5,0.019202,-0.00011
#G4-5-A.wav,5,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,0.2359145,-9.186973,23.289406,0.54835904,0.003592,0.0942225,18.666666,0.022306,-0.000119
#G4-5-B.wav,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0691765,1.3815844,18.564423,0.266455,0.008344,0.5661695,9.5,0.032417,-0.000133
A3-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.248047,-4.4603724,21.896053,0.0061520003,0.004436,0.86193347,10.0,0.024323,-0.000139
A3-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.259147,1.429111,23.97975,0.064774,0.004304,0.163248,14.0,0.023219999,-0.000131
A3-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.234434,-2.370023,25.559368,0.111317,0.004076,0.811943,10.333333,0.020498,-0.000119
A3-5-A.wav,5,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,0.327116,-4.5454903,21.765022,0.233118,0.003962,0.166413,14.0,0.023202,-0.000135
A3-5-B.wav,5,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,0.071936,7.412623,18.328661,0.065138,0.007375,0.9944945,3.666667,0.0186055,-0.000104
A4-1.wav,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.174998,8.422688,24.560223,0.035011,0.002304,0.871929,7.333333,0.019896,-0.000117
A4-3-A.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.233762,-1.511423,29.28157,0.1136195,0.001973,0.3980685,20.0,0.0146925,-9.5e-05
A4-3-B.wav,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.1658465,3.6165318,30.601185,0.174585,0.001882,0.680134,10.5,0.014661,-0.000114
