feature,coef,abs_coef,selected
HighFreqNoiseRatio,0.63666964,0.63666964,True
CPP,-0.627344,0.627344,True
Jitter,0.34531897,0.34531897,True
QValue,-0.16064844,0.16064844,True
H1H2_output,0.14387529,0.14387529,True
SpectralSlope,0.025154617,0.025154617,True
H1H2,0.0,0.0,False
HNR,-0.0,0.0,False
LowFreqEnergyRatio,0.0,0.0,False
Q1,-0.0,0.0,False
Shimmer,-0.0,0.0,False
