fold,train_size,test_size,accuracy,quadratic_kappa,mae
1,50,9,0.8888888888888888,0.8831168831168831,0.2222222222222222
2,50,9,0.7777777777777778,0.71875,0.4444444444444444
3,50,9,0.5555555555555556,0.33333333333333337,0.8888888888888888
4,51,8,0.875,0.8181818181818181,0.25
5,51,8,0.75,0.6666666666666667,0.5
6,51,8,1.0,1.0,0.0
7,51,8,0.75,0.6190476190476191,0.5
