audio_filename,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
同音高__E5-1.wav,0.270186,8.686202,28.942669,0.184123,0.001242,2.5e-05,10.666667,0.055552498,-0.000124
同音高__E5-3-A.wav,0.239672,8.628885,30.347994,0.095096,0.001513,4.8e-05,10.666667,0.039498,-0.000121
同音高__E5-3-B.wav,0.232063,10.682852,25.99221,0.095853,0.001697,3.3e-05,15.0,0.059076,-0.000118
同音高__E5-5.wav,0.17338899,13.583678,27.831793,0.099362,0.001749,4.6e-05,10.666667,0.042951,-0.000114
同音高__G3-1.wav,0.301971,-6.203528,20.773808,0.008589,0.003746,0.427873,9.333333,0.015344501,-0.000159
同音高__G3-3-A.wav,0.232254,1.3869514,24.322756,0.089723,0.004773,0.8897675,9.5,0.017172,-0.000144
同音高__G3-3-B.wav,0.234801,-2.53732,18.832273,0.024007,0.006037,0.371901,9.5,0.0190775,-0.000158
同音高__G3-5.wav,0.245711,1.268995,24.68576,0.161898,0.003179,0.928569,6.333333,0.016337,-0.000126
同音高__G4-1.wav,0.3059575,12.325225,27.50244,0.0800215,0.002006,0.943025,6.333333,0.015709,-0.000128
同音高__G4-3-A.wav,0.232419,3.034353,32.04224,0.1259685,0.001353,0.669629,9.5,0.012409,-0.000117
同音高__G4-3-B.wav,0.2461755,6.716868,26.058014,0.027987,0.003151,0.8112495,9.5,0.0156615,-0.000118
同音高__G4-5.wav,0.18554,7.949876,28.653046,0.260879,0.002078,0.855686,9.5,0.018261,-0.000105
