feature,coef,p_value,significant
CPP,0.1803507747948286,0.501574185918966,False
H1H2,0.26288420328009066,0.3284637893995249,False
HNR,-0.20557899733084162,0.583005866284056,False
HighFreqNoiseRatio,1.4551267945620951,2.359789773678816e-07,True
Jitter,1.6236674584346207,0.0003994922995650765,True
LowFreqEnergyRatio,-0.2902762269085001,0.31492718902665207,False
QValue,0.49154364700427017,0.09448365457865662,False
Shimmer,-0.23676760140950887,0.18564100257966965,False
SpectralSlope,0.399585964492737,0.08686620600121572,False
