fold,train_size,test_size,accuracy,quadratic_kappa,mae
1,88,10,0.9,0.8888888888888888,0.2
2,88,10,0.7,0.7058823529411764,0.6
3,88,10,0.9,0.9056603773584906,0.2
4,88,10,0.7,0.7169811320754718,0.6
5,88,10,0.7,0.7272727272727273,0.6
6,88,10,0.8,0.8484848484848485,0.4
7,88,10,0.9,0.9056603773584906,0.2
8,88,10,0.7,0.7169811320754718,0.6
9,89,9,0.5555555555555556,0.5909090909090909,0.8888888888888888
10,89,9,0.6666666666666666,0.6493506493506493,0.6666666666666666
