feature,coef,abs_coef,selected
Jitter,0.70179164,0.70179164,True
HighFreqNoiseRatio,0.5795682,0.5795682,True
CPP,-0.24376044,0.24376044,True
Shimmer,-0.21638007,0.21638007,True
SpectralSlope,0.19927622,0.19927622,True
H1H2_output,0.17709504,0.17709504,True
LowFreqEnergyRatio,-0.14644022,0.14644022,True
QValue,0.118392855,0.118392855,True
Q1,-0.083775036,0.083775036,True
H1H2,0.028114894,0.028114894,True
HNR,0.0,0.0,False
