feature,coef,abs_coef,selected
HighFreqNoiseRatio,0.76964384,0.76964384,True
Jitter,0.54989773,0.54989773,True
Shimmer,-0.34258637,0.34258637,True
HNR,-0.3303022,0.3303022,True
QValue,0.28488836,0.28488836,True
SpectralSlope,0.27296385,0.27296385,True
LowFreqEnergyRatio,-0.2195656,0.2195656,True
H1H2_output,0.16188276,0.16188276,True
H1H2,0.15359348,0.15359348,True
Q1,-0.0851489,0.0851489,True
CPP,-0.0,0.0,False
