,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
vibrato,0.19999267160892487,0.24612893164157867,-0.14845256507396698,0.6725106835365295,0.17265017330646515,-0.4661366939544678,0.36907365918159485,-0.37559643387794495,0.24035131931304932
throat,0.19999267160892487,0.24612893164157867,-0.14845256507396698,0.6725106835365295,0.17265017330646515,-0.4661366939544678,0.36907365918159485,-0.37559643387794495,0.24035131931304932
position,0.19999267160892487,0.24612893164157867,-0.14845256507396698,0.6725106835365295,0.17265017330646515,-0.4661366939544678,0.36907365918159485,-0.37559643387794495,0.24035131931304932
open,0.19999267160892487,0.24612893164157867,-0.14845256507396698,0.6725106835365295,0.17265017330646515,-0.4661366939544678,0.36907365918159485,-0.37559643387794495,0.24035131931304932
clean,0.09392846375703812,0.0,0.0,0.06652835756540298,0.0,-0.37498995661735535,0.4608173966407776,-0.20587459206581116,0.04683961719274521
resonate,0.0,0.0,0.10657879710197449,0.30577102303504944,0.0,-0.3494779169559479,0.3178234398365021,-0.18767230212688446,0.0
unify,0.19999267160892487,0.24612893164157867,-0.14845256507396698,0.6725106835365295,0.17265017330646515,-0.4661366939544678,0.36907365918159485,-0.37559643387794495,0.24035131931304932
falsetto,0.19999267160892487,0.24612893164157867,-0.14845256507396698,0.6725106835365295,0.17265017330646515,-0.4661366939544678,0.36907365918159485,-0.37559643387794495,0.24035131931304932
chest,0.19999267160892487,0.24612893164157867,-0.14845256507396698,0.6725106835365295,0.17265017330646515,-0.4661366939544678,0.36907365918159485,-0.37559643387794495,0.24035131931304932
nasal,0.0,0.0,0.0,0.5699462294578552,0.0,-0.3830723166465759,0.14635492861270905,-0.1272231638431549,0.01163140032440424
