fold,train_size,test_size,accuracy,quadratic_kappa,mae
1,87,10,0.8,0.8484848484848485,0.4
2,87,10,0.7,0.7169811320754718,0.6
3,87,10,0.7,0.7619047619047619,0.6
4,87,10,0.7,0.6938775510204083,0.6
5,87,10,0.7,0.6938775510204083,0.6
6,87,10,0.9,0.9152542372881356,0.2
7,87,10,0.9,0.9056603773584906,0.2
8,88,9,0.8888888888888888,0.8831168831168832,0.2222222222222222
9,88,9,0.5555555555555556,0.7142857142857143,0.8888888888888888
10,88,9,0.6666666666666666,0.7157894736842105,0.6666666666666666
