feature,coef,p_value,significant
CPP,-0.022191030906786594,0.9328916331234373,False
H1H2,0.5706275964856549,0.041070674006203185,True
HNR,-0.7643214115647861,0.03697778458655641,True
HighFreqNoiseRatio,1.4886613628601069,2.1092711444643767e-07,True
Jitter,1.057950901738062,0.003665727471908539,True
LowFreqEnergyRatio,-0.4461428405097922,0.12696444518671743,False
QValue,0.4618360341640431,0.11256119414504043,False
Shimmer,-0.39875054428668716,0.02743714264277198,True
SpectralSlope,0.548873345195859,0.021715241715316608,True
