fold,train_size,test_size,accuracy,quadratic_kappa,mae
1,49,9,1.0,1.0,0.0
2,49,9,0.7777777777777778,0.6785714285714286,0.4444444444444444
3,50,8,0.5,0.33333333333333337,1.0
4,50,8,0.5,0.4285714285714286,1.0
5,50,8,0.625,0.4545454545454546,0.75
6,50,8,0.875,0.8823529411764706,0.25
7,50,8,0.625,0.6,0.75
