feature,coef,p_value,significant
CPP,-0.2636215928784926,0.3120023907714766,False
H1H2,0.576525605044779,0.038819848731571044,True
HNR,0.06499725936690227,0.8691343124677713,False
HighFreqNoiseRatio,1.1641411439679303,4.8114388105624665e-06,True
Jitter,2.071724815011091,7.523765424631706e-05,True
LowFreqEnergyRatio,-0.6607735790728563,0.02011159722680873,True
QValue,0.16914211676573263,0.5093786803684702,False
Shimmer,-0.41014838789884883,0.029575540189978898,True
SpectralSlope,0.4809424869141684,0.051275921573293234,False
