feature,coef,abs_coef,selected
Jitter,0.7642624,0.7642624,True
HighFreqNoiseRatio,0.49595135,0.49595135,True
H1H2,0.30352154,0.30352154,True
Shimmer,-0.27181467,0.27181467,True
SpectralSlope,0.22843525,0.22843525,True
LowFreqEnergyRatio,-0.2096245,0.2096245,True
CPP,-0.16918723,0.16918723,True
QValue,0.1406284,0.1406284,True
HNR,0.0,0.0,False
