fold,train_size,test_size,accuracy,quadratic_kappa,mae
1,88,10,0.8,0.8245614035087719,0.4
2,88,10,0.8,0.7435897435897436,0.4
3,88,10,0.6,0.6226415094339622,0.8
4,88,10,0.7,0.5454545454545454,0.6
5,88,10,0.7,0.6511627906976745,0.6
6,88,10,0.8,0.803921568627451,0.4
7,88,10,0.9,0.8888888888888888,0.2
8,88,10,0.6,0.5918367346938775,0.8
9,89,9,0.6666666666666666,0.5714285714285714,0.6666666666666666
10,89,9,0.6666666666666666,0.6493506493506493,0.6666666666666666
