feature,coef,abs_coef,selected
CPP,-0.61459917,0.61459917,True
HighFreqNoiseRatio,0.601725,0.601725,True
Jitter,0.44751894,0.44751894,True
H1H2,0.17417677,0.17417677,True
QValue,-0.13058974,0.13058974,True
SpectralSlope,0.062196273,0.062196273,True
HNR,-0.0,0.0,False
LowFreqEnergyRatio,0.0,0.0,False
Shimmer,-0.0,0.0,False
