fold,train_size,test_size,accuracy,quadratic_kappa,mae
1,52,7,0.8571428571428571,0.8627450980392157,0.2857142857142857
2,52,7,0.8571428571428571,0.8813559322033898,0.2857142857142857
3,52,7,0.8571428571428571,0.8444444444444444,0.2857142857142857
4,52,7,0.42857142857142855,0.29999999999999993,1.1428571428571428
5,52,7,0.8571428571428571,0.8571428571428572,0.2857142857142857
6,53,6,1.0,1.0,0.0
7,53,6,0.8333333333333334,0.7692307692307692,0.3333333333333333
8,53,6,0.6666666666666666,0.5384615384615384,0.6666666666666666
9,53,6,0.8333333333333334,0.8,0.3333333333333333
