feature,coef,abs_coef,selected
CPP,-0.6264909,0.6264909,True
HighFreqNoiseRatio,0.56608146,0.56608146,True
Jitter,0.33126646,0.33126646,True
SpectralSlope,0.14852539,0.14852539,True
QValue,-0.10813239,0.10813239,True
LowFreqEnergyRatio,0.01906774,0.01906774,True
H1H2_output,0.01347604,0.01347604,True
H1H2,0.0,0.0,False
HNR,-0.0,0.0,False
Q1,0.0,0.0,False
Shimmer,-0.0,0.0,False
